medium;painter;title;url;year;local_filename;year_unambiguous;Observer;SessionID;FlippedLR;Confidence;Estimates;Duration;Painting CenterXY;Painting size
oil on canvas;Adolph Menzel;Fronleichnamsprozession in Hofgastein;https://upload.wikimedia.org/wikipedia/commons/4/44/Adolf_Friedrich_Erdmann_von_Menzel_027.jpg;1880;Adolf_Friedrich_Erdmann_von_Menzel_027.jpg;1880;KSC94w;;;;;;;
oil on paper;Adolph Menzel;Gewitter am Tempelhofer Berg;https://upload.wikimedia.org/wikipedia/commons/d/db/Adolf_Friedrich_Erdmann_von_Menzel_028.jpg;1846;Adolf_Friedrich_Erdmann_von_Menzel_028.jpg;1846;KSC94w;;;;;;;
gouache on paper;Adolph Menzel;Gouachenserie »Das Kinderalbum«, Szene: Trockenplatz;https://upload.wikimedia.org/wikipedia/commons/f/f2/Adolf_Friedrich_Erdmann_von_Menzel_029.jpg;1863;Adolf_Friedrich_Erdmann_von_Menzel_029.jpg;1863;KSC94w;;;;;;;
paper;Adolph Menzel;Husaren bringen eine polnische Familie auf;https://upload.wikimedia.org/wikipedia/commons/1/1a/Adolf_Friedrich_Erdmann_von_Menzel_030.jpg;1850;Adolf_Friedrich_Erdmann_von_Menzel_030.jpg;1850;KSC94w;;;;;;;
gouache on paper;Adolph Menzel;At the beer garden;https://upload.wikimedia.org/wikipedia/commons/3/3c/Adolf_Friedrich_Erdmann_von_Menzel_031.jpg;1883;Adolf_Friedrich_Erdmann_von_Menzel_031.jpg;1883;KSC94w;;;;;;;
oil on canvas;Adolph Menzel;Im Weißen Saal;https://upload.wikimedia.org/wikipedia/commons/c/c7/Adolf_Friedrich_Erdmann_von_Menzel_032.jpg;1888;Adolf_Friedrich_Erdmann_von_Menzel_032.jpg;1888;KSC94w;;;;;;;
gouache on paper;Adolph Menzel;Kanzelpredigt in der Pfarrkirche zu Innsbruck;https://upload.wikimedia.org/wikipedia/commons/4/4f/Adolf_Friedrich_Erdmann_von_Menzel_033.jpg;1881;Adolf_Friedrich_Erdmann_von_Menzel_033.jpg;1881;KSC94w;;;;;;;
paper;Adolph Menzel;Küche in Hofgastein;https://upload.wikimedia.org/wikipedia/commons/f/fe/Adolf_Friedrich_Erdmann_von_Menzel_034.jpg;1873;Adolf_Friedrich_Erdmann_von_Menzel_034.jpg;1873;KSC94w;;;;;;;
gouache on paper;Adolph Menzel;Kunstbetrachter;https://upload.wikimedia.org/wikipedia/commons/e/ec/Adolf_Friedrich_Erdmann_von_Menzel_035.jpg;1847;Adolf_Friedrich_Erdmann_von_Menzel_035.jpg;1847;KSC94w;;;;;;;
gouache on paper;Adolph Menzel;Maskensouper;https://upload.wikimedia.org/wikipedia/commons/5/59/Adolf_Friedrich_Erdmann_von_Menzel_036.jpg;1855;Adolf_Friedrich_Erdmann_von_Menzel_036.jpg;1855;KSC94w;;;;;;;
oil on paper mounted on canvas;Adolph Menzel;Menzels Schwester Emilie im Schlaf;https://upload.wikimedia.org/wikipedia/commons/5/58/Adolf_Friedrich_Erdmann_von_Menzel_037.jpg;1848;Adolf_Friedrich_Erdmann_von_Menzel_037.jpg;1848;KSC94w;;;;;;;
oil on canvas;Adolph Menzel;Afternoon in the Tuileries Gardens;https://upload.wikimedia.org/wikipedia/commons/4/44/Adolf_Friedrich_Erdmann_von_Menzel_038.jpg;1867;Adolf_Friedrich_Erdmann_von_Menzel_038.jpg;1867;KSC94w;;;;;;;
watercolor on paper;Adolph Menzel;Church of Sts. Peter and Paul, Strzegom;https://upload.wikimedia.org/wikipedia/commons/b/b8/Adolf_Friedrich_Erdmann_von_Menzel_040.jpg;1847;Adolf_Friedrich_Erdmann_von_Menzel_040.jpg;1847;KSC94w;;;;;;;
Pastell, Papier;Adolph Menzel;Porträt der Karoline Arnold;https://upload.wikimedia.org/wikipedia/commons/0/0b/Adolf_Friedrich_Erdmann_von_Menzel_041.jpg;1847;Adolf_Friedrich_Erdmann_von_Menzel_041.jpg;1847;KSC94w;;;;;;;
Pastell, Papier;Adolph Menzel;Porträt des Paul Heyse;https://upload.wikimedia.org/wikipedia/commons/b/b1/Adolf_Friedrich_Erdmann_von_Menzel_042.jpg;1853;Adolf_Friedrich_Erdmann_von_Menzel_042.jpg;1853;KSC94w;;;;;;;
Öl, Papier auf Pappe;Adolph Menzel;Porträt von Menzels Bruder Richard;https://upload.wikimedia.org/wikipedia/commons/3/38/Adolf_Friedrich_Erdmann_von_Menzel_043.jpg;1846;Adolf_Friedrich_Erdmann_von_Menzel_043.jpg;1846;KSC94w;;;;;;;
gouache on paper;Adolph Menzel;Travel plans;https://upload.wikimedia.org/wikipedia/commons/4/4f/Adolf_Friedrich_Erdmann_von_Menzel_044.jpg;1875;Adolf_Friedrich_Erdmann_von_Menzel_044.jpg;1875;KSC94w;;;;;;;
watercolor on paper;Adolph Menzel;Staatsminister Freiherr von Schleinitz (Porträtstudie zum Krönungsbild);https://upload.wikimedia.org/wikipedia/commons/e/ee/Adolf_Friedrich_Erdmann_von_Menzel_045.jpg;1865;Adolf_Friedrich_Erdmann_von_Menzel_045.jpg;1865;KSC94w;;;;;;;
oil on canvas;Adolph Menzel;Théâtre du Gymnase (Paris);https://upload.wikimedia.org/wikipedia/commons/9/90/Adolf_Friedrich_Erdmann_von_Menzel_046.jpg;1856;Adolf_Friedrich_Erdmann_von_Menzel_046.jpg;1856;KSC94w;;;;;;;
oil on paper mounted on cardboard;Adolph Menzel;Treppenflur bei Nachtbeleuchtung;https://upload.wikimedia.org/wikipedia/commons/4/41/Adolf_Friedrich_Erdmann_von_Menzel_047.jpg;1848;Adolf_Friedrich_Erdmann_von_Menzel_047.jpg;1848;KSC94w;;;;;;;
oil on paper mounted on millboard;Adolph Menzel;Living room with the artist's sister;https://upload.wikimedia.org/wikipedia/commons/6/68/Adolf_Friedrich_Erdmann_von_Menzel_048.jpg;1847;Adolf_Friedrich_Erdmann_von_Menzel_048.jpg;1847;KSC94w;2016-02-01-17-50-05;0.0;0.0;[];6.03999996185303;(800.0, 400.0);(545, 800)
pastel on paper;Adolph Menzel;Two discussing voters;https://upload.wikimedia.org/wikipedia/commons/6/68/Adolf_Friedrich_Erdmann_von_Menzel_049.jpg;1849;Adolf_Friedrich_Erdmann_von_Menzel_049.jpg;1849;KSC94w;;;;;;;
oil on canvas;Adolf Seel;Alhambra;https://upload.wikimedia.org/wikipedia/commons/e/e4/Adolf_Seel_001.jpg;1886;Adolf_Seel_001.jpg;1886;KSC94w;;;;;;;
oil on panel;Adolphe Joseph Thomas Monticelli;Les Précieuses Ridicules;https://upload.wikimedia.org/wikipedia/commons/c/c5/Adolphe_Joseph_Thomas_Monticelli_001.jpg;1883;Adolphe_Joseph_Thomas_Monticelli_001.jpg;1883;KSC94w;;;;;;;
oil on canvas;Adolphe Joseph Thomas Monticelli;Orientalische Szene;https://upload.wikimedia.org/wikipedia/commons/8/8f/Adolphe_Joseph_Thomas_Monticelli_002.jpg;1876;Adolphe_Joseph_Thomas_Monticelli_002.jpg;1876;KSC94w;;;;;;;
oil on canvas;Adolphe Joseph Thomas Monticelli;Wie es Euch gefällt;https://upload.wikimedia.org/wikipedia/commons/b/b9/Adolphe_Joseph_Thomas_Monticelli_003.jpg;1880;Adolphe_Joseph_Thomas_Monticelli_003.jpg;1880;KSC94w;;;;;;;
oil on panel;Master of the Vienna Adoration;The Adoration of the Magi;https://upload.wikimedia.org/wikipedia/commons/3/38/Adoration_of_Jesus.jpg;1410;Adoration_of_Jesus.jpg;1410;KSC94w;;;;;;;
fresco;Fra Angelico;Adorazione del Bambino;https://upload.wikimedia.org/wikipedia/commons/b/ba/Adorazione_del_Bambino_-_Beato_Angelico.jpg;1439-1443;Adorazione_del_Bambino_-_Beato_Angelico.jpg;1443;KSC94w;;;;;;;
oil on panel;Adriaen Brouwer;Bauernrauferei beim Würfelspiel;https://upload.wikimedia.org/wikipedia/commons/f/f9/Adriaen_Brouwer_002.jpg;between circa 1630 and circa 1640;Adriaen_Brouwer_002.jpg;1640;KSC94w;;;;;;;
oil on panel;Adriaen Brouwer;Der bittere Trank;https://upload.wikimedia.org/wikipedia/commons/5/54/Adriaen_Brouwer_004.jpg;1630-1640;Adriaen_Brouwer_004.jpg;1640;KSC94w;;;;;;;
oil on panel;Adriaen Isenbrandt;The Rest on The Flight into Egypt;https://upload.wikimedia.org/wikipedia/commons/d/dc/Adriaen_Isenbrant_001.png;between circa 1510 and circa 1550;Adriaen_Isenbrant_001.png.jpg;1550;KSC94w;;;;;;;
color on oak panel;Adriaen van de Venne;What Won't People Do for Money;https://upload.wikimedia.org/wikipedia/commons/4/43/Adriaen_Pietersz._van_de_Venne_001.jpg;1625;Adriaen_Pietersz._van_de_Venne_001.jpg;1625;KSC94w;;;;;;;
oil on canvas;Adriaen van de Velde;Portrait of a couple with two children and a nursemaid in a landscape;https://upload.wikimedia.org/wikipedia/commons/c/c2/Adriaen_van_de_Velde_002.jpg;1667;Adriaen_van_de_Velde_002.jpg;1667;KSC94w;;;;;;;
oil on oak panel;Adriaen van Ostade;Peasant family at home;https://upload.wikimedia.org/wikipedia/commons/e/e7/Adriaen_van_Ostade_001.jpg;1647;Adriaen_van_Ostade_001.jpg;1647;KSC94w;;;;;;;
oil on oak panel;Adriaen van Ostade;An alchemist;https://upload.wikimedia.org/wikipedia/commons/1/18/Adriaen_van_Ostade_002.jpg;1661;Adriaen_van_Ostade_002.jpg;1661;KSC94w;;;;;;;
