imgname;title;painter;year;medium;image-URL;page-URL;OriginCountry
1000_ClaudeMonet_Na.jpg;null;Claude Monet;30 April 2011, 00:01;painting;https://upload.wikimedia.org/wikipedia/commons/f/f4/Account_creation_-_Your_interest_-_Arts.jpg;https://commons.wikimedia.org/wiki/File:Account_creation_-_Your_interest_-_Arts.jpg;France
1839_AndreasAchenbach_UferDes.jpg;Ufer des zugefrorenen Meeres Winterlandschaft;Andreas Achenbach;1839;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/2/2e/Andreas_Achenbach_003.jpg;https://commons.wikimedia.org/wiki/File:Andreas_Achenbach_003.jpg;No information
1866_AndreasAchenbach_LandscapeWithA.jpg;Landscape with a River;Andreas Achenbach;1866;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/5/5c/Andreas_Achenbach_-_Landschaft_mit_Fluss.jpg;https://commons.wikimedia.org/wiki/File:Andreas_Achenbach_-_Landschaft_mit_Fluss.jpg;Germany
1863_AndreasAchenbach_Westphalian.jpg;Westphalian Watermill;Andreas Achenbach;1863;oil on panel;https://upload.wikimedia.org/wikipedia/commons/3/38/Achenbach%2C_Andreas_-_Westf%C3%A4lische_Wasserm%C3%BChle.jpg;https://commons.wikimedia.org/wiki/File:Achenbach,_Andreas_-_Westf%C3%A4lische_Wasserm%C3%BChle.jpg;Germany
1857_OswaldAchenbach_Klostergarten.jpg;Klostergarten;Oswald Achenbach;1857;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/e/e0/Oswald_Achenbach_002.jpg;https://commons.wikimedia.org/wiki/File:Oswald_Achenbach_002.jpg;Germany
1875_OswaldAchenbach_FireworksInNaples.jpg;Fireworks in Naples;Oswald Achenbach;1875;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/c/ce/Oswald_Achenbach_001.jpg;https://commons.wikimedia.org/wiki/File:Oswald_Achenbach_001.jpg;Germany
1800_Moi_Français.JPG;Français :;Moi;between 1800 and 1850;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/4/4b/Achille-Jacques_F%C3%A9del_%282%29.JPG;https://commons.wikimedia.org/wiki/File:Achille-Jacques_F%C3%A9del_2.JPG;No information
1800_Français_Français.jpg;Français :;Français :;between 1800 and 1850;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/8/86/Achille-Jacques_F%C3%A9del.jpg;https://commons.wikimedia.org/wiki/File:Achille-Jacques_F%C3%A9del.jpg;No information
1000_Adalpertus_CodexAureusVon.jpg; Codex Aureus von St. Emmeram, Szene: Porträt des Abtes Ramwoldus;Adalpertus;circa 1000;illumination on parchment;https://upload.wikimedia.org/wikipedia/commons/1/13/Adalpertus_001.jpg;https://commons.wikimedia.org/wiki/File:Adalpertus_001.jpg;No information
_ARTOTHEK_LandscapeWithThe.jpg;Landscape with the Flight into Egypt;-/ARTOTHEK;null;oil on copper;https://upload.wikimedia.org/wikipedia/commons/b/ba/Adam_Elsheimer_007.jpg;https://commons.wikimedia.org/wiki/File:Adam_Elsheimer_007.jpg;Italy
1609_AdamElsheimer_JupiterAndMercury.jpg;Jupiter and Mercury at Philemon and Baucis;Adam Elsheimer;between 1609 and 1610;oil on copper;https://upload.wikimedia.org/wikipedia/commons/c/cc/Adam_Elsheimer_008.jpg;https://commons.wikimedia.org/wiki/File:Adam_Elsheimer_008.jpg;Italy
1869_AdolphMenzel_WeekdayInParis.jpg;Weekday in Paris;Adolph Menzel;1869;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/d/d5/Adolf_Friedrich_Erdmann_von_Menzel_-_Pariser_Wochentag_-_museum_kunst_palast_D%C3%BCsseldorf.jpg;https://commons.wikimedia.org/wiki/File:Adolf_Friedrich_Erdmann_von_Menzel_-_Pariser_Wochentag_-_museum_kunst_palast_D%C3%BCsseldorf.jpg;Germany
1846_AdolphMenzel_Abendgesellschaft.jpg;Abendgesellschaft;Adolph Menzel;1846-1847;oil on paper mounted on millboard;https://upload.wikimedia.org/wikipedia/commons/4/4f/Adolf_Friedrich_Erdmann_von_Menzel_001.jpg;https://commons.wikimedia.org/wiki/File:Adolf_Friedrich_Erdmann_von_Menzel_001.jpg;Germany
1832_AdolphMenzel_AlfredDerGroße.jpg; Alfred der Große;Adolph Menzel;1832; Kolorierte Federzeichnung auf Papier;https://upload.wikimedia.org/wikipedia/commons/8/85/Adolf_Friedrich_Erdmann_von_Menzel_002.jpg;https://commons.wikimedia.org/wiki/File:Adolf_Friedrich_Erdmann_von_Menzel_002.jpg;Germany
1866_AdolphMenzel_AlteSynagogeZu.jpg;Alte Synagoge zu Prag;Adolph Menzel;1866;gouache on paper;https://upload.wikimedia.org/wikipedia/commons/b/b9/Adolf_Friedrich_Erdmann_von_Menzel_003.jpg;https://commons.wikimedia.org/wiki/File:Adolf_Friedrich_Erdmann_von_Menzel_003.jpg;Germany
1872_AdolphMenzel_Atelierwand.jpg;Atelierwand;Adolph Menzel;1872;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/6/66/Adolf_Friedrich_Erdmann_von_Menzel_004.jpg;https://commons.wikimedia.org/wiki/File:Adolf_Friedrich_Erdmann_von_Menzel_004.jpg;Germany
1848_Picasa_AufbahrungDer.jpg;Aufbahrung der Märzgefallenen;Picasa;1848;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/8/8f/Adolf_Friedrich_Erdmann_von_Menzel_005.jpg;https://commons.wikimedia.org/wiki/File:Adolf_Friedrich_Erdmann_von_Menzel_005.jpg;Germany
1848_AdolphMenzel_AufbahrungDer.jpg;Aufbahrung der Märzgefallenen;Adolph Menzel;1848;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/1/1c/Adolf_Friedrich_Erdmann_von_Menzel_006.jpg;https://commons.wikimedia.org/wiki/File:Adolf_Friedrich_Erdmann_von_Menzel_006.jpg;Germany
1848_AdolphMenzel_Aufbewahrungssaal.jpg;Aufbewahrungssaal während des Museumsumbaus;Adolph Menzel;1848;pastel on paper;https://upload.wikimedia.org/wikipedia/commons/b/b5/Adolf_Friedrich_Erdmann_von_Menzel_007.jpg;https://commons.wikimedia.org/wiki/File:Adolf_Friedrich_Erdmann_von_Menzel_007.jpg;Germany
1845_AdolphMenzel_Balkonzimmer.jpg; Balkonzimmer;Adolph Menzel;1845; Öl auf Pappe;https://upload.wikimedia.org/wikipedia/commons/9/9c/Adolf_Friedrich_Erdmann_von_Menzel_008.jpg;https://commons.wikimedia.org/wiki/File:Adolf_Friedrich_Erdmann_von_Menzel_008.jpg;Germany
1878_AdolphMenzel_Ballsouper.jpg; Ballsouper;Adolph Menzel;1878;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/8/8f/Adolf_Friedrich_Erdmann_von_Menzel_009.jpg;https://commons.wikimedia.org/wiki/File:Adolf_Friedrich_Erdmann_von_Menzel_009.jpg;Germany
1878_AdolphMenzel_Ballsouper?.jpg; Ballsouper, ?;Adolph Menzel;1878;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/5/5b/Adolf_Friedrich_Erdmann_von_Menzel_010.jpg;https://commons.wikimedia.org/wiki/File:Adolf_Friedrich_Erdmann_von_Menzel_010.jpg;Germany
1859_AdolphMenzel_FolkTheatreIn.jpg;Folk theatre in Tyrol;Adolph Menzel;1859;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/3/3a/Adolf_Friedrich_Erdmann_von_Menzel_011.jpg;https://commons.wikimedia.org/wiki/File:Adolf_Friedrich_Erdmann_von_Menzel_011.jpg;Germany
1846_AdolphMenzel_ConstructionSite.jpg;Construction site with willows;Adolph Menzel;1846;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/2/2f/Adolf_Friedrich_Erdmann_von_Menzel_012.jpg;https://commons.wikimedia.org/wiki/File:Adolf_Friedrich_Erdmann_von_Menzel_012.jpg;Germany
1888_AdolphMenzel_BeatiPossidentes.jpg;Beati Possidentes Blessed are those who have;Adolph Menzel;1888;paper;https://upload.wikimedia.org/wikipedia/commons/a/ae/Adolf_Friedrich_Erdmann_von_Menzel_013.jpg;https://commons.wikimedia.org/wiki/File:Adolf_Friedrich_Erdmann_von_Menzel_013.jpg;Germany
1847_AdolphMenzel_BerlinPotsdamer.jpg; Berlin-Potsdamer Bahn;Adolph Menzel;1847;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/5/59/Adolf_Friedrich_Erdmann_von_Menzel_014.jpg;https://commons.wikimedia.org/wiki/File:Adolf_Friedrich_Erdmann_von_Menzel_014.jpg;Germany
1847_AdolphMenzel_Berliner.jpg;Berliner Hinterhäuser im Schnee;Adolph Menzel;1847;oil on paper mounted on millboard;https://upload.wikimedia.org/wikipedia/commons/0/08/Adolf_Friedrich_Erdmann_von_Menzel_015.jpg;https://commons.wikimedia.org/wiki/File:Adolf_Friedrich_Erdmann_von_Menzel_015.jpg;Germany
1858_AdolphMenzel_BluecherUnd.jpg; Blücher und Wellington bei Belle Alliance;Adolph Menzel;1858;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/c/cc/Adolf_Friedrich_Erdmann_von_Menzel_016.jpg;https://commons.wikimedia.org/wiki/File:Adolf_Friedrich_Erdmann_von_Menzel_016.jpg;Germany
1858_AdolphMenzel_BonsoirMessieurs?.jpg; Bonsoir, Messieurs? Friedrich der Große in Lissa;Adolph Menzel;1858;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/8/8f/Adolf_Friedrich_Erdmann_von_Menzel_017.jpg;https://commons.wikimedia.org/wiki/File:Adolf_Friedrich_Erdmann_von_Menzel_017.jpg;Germany
1859_AdolphMenzel_ChodowieckiAufDer.jpg;Chodowiecki auf der Jannowitzbrücke;Adolph Menzel;1859;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/1/11/Adolf_Friedrich_Erdmann_von_Menzel_018.jpg;https://commons.wikimedia.org/wiki/File:Adolf_Friedrich_Erdmann_von_Menzel_018.jpg;Germany
